text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
अकाडेमीले	अकाडेमीले	ax . k aa . dx e . m i . l e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa . dd e . m i . l e
अकाल	अकाल	ax . k aa l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa l
अकालमा	अकालमा	ax . k aa l . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa l . m aa
अकासै	अकासै	ax . k aa . s axj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k aa . s axj
अकिरा	अकिरा	ax . k i . r aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k i . r aa
अकेला	अकेला	ax . k e . l aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . k e . l aa
अक्कल	अक्कल	ax k . k ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . k ax l
अक्टुबर	अक्टुबर	ax k . tx u . b ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tt u . b ax r
अक्टो	अक्टो	ax k . tx o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tt o
अक्टोपस	अक्टोपस	ax k . tx o . p ax s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tt o . p ax s
अक्टोबर	अक्टोबर	ax k . tx o . b ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tt o . b ax r
अक्षता	अक्षता	ax k . tsh y ax . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh y ax . t aa
अक्षय	अक्षय	ax k . tsh y ax . y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh y ax . y ax
अक्षयकुमार	अक्षयकुमार	ax k . tsh y ax . y ax . k u . m aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh y ax . y ax . k u . m aa r
अक्षर	अक्षर	ax k . tsh y ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh y ax r
अक्षरगन्ज	अक्षरगन्ज	ax k . tsh y ax r . g ax n . dz ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh y ax r . g ax n . jh ax
अक्षरहरू	अक्षरहरू	ax k . tsh ax r . h ax . r u		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . tsh ax r . h ax . r u
अक्षांश	अक्षांश	aa k . tsh y aa m . s ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=aa k . tsh y aa m . s ax
अक्सफोर्ड	अक्सफोर्ड	ax k s . ph o r dx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k s . ph o r dd
अक्साइड	अक्साइड	ax k . s aaj dx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . s aaj dd
अक्सिजन	अक्सिजन	ax k . s i . dz ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . s i . jh ax n
अक्सिटोसिन	अक्सिटोसिन	ax k . s i . tx o . s i n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax k . s i . tt o . s i n
अखडा	अखडा	ax . kh ax . dx aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . kh ax . dd aa
अखण्डता	अखण्डता	ax . kh ax n . dx ax . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . kh ax n . dd ax . t aa
अखबार	अखबार	ax . kh ax . b aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . kh ax . b aa r
अखिल	अखिल	ax . kh i l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . kh i l
अख्तर	अख्तर	ax kh . t ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax kh . t ax r
अख्तियार	अख्तियार	ax kh . t i . y aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax kh . t i . y aa r
अगष्टमा	अगष्टमा	ax . g ax s tx . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g ax s tt . m aa
अगस्ट	अगस्ट	ax . g ax s tx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g ax s tt
अगस्टमा	अगस्टमा	ax . g ax s tx . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g ax s tt . m aa
अगस्त	अगस्त	ax . g ax s t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g ax s t
अगाडि	अगाडि	ax . g aa . dx i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g aa . dd i
अगाडिसम्म	अगाडिसम्म	ax . g aa . dx i . s ax m . m ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g aa . dd i . s ax m . m ax
अगाडी	अगाडी	ax . g aa . dx i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g aa . dd i
अगावै	अगावै	ax . g aa . w axj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g aa . w axj
अगुल्टो	अगुल्टो	ax . g u l . tx o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g u l . tt o
अगुवा	अगुवा	ax . g u . w aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g u . w aa
अगुवाइ	अगुवाइ	ax . g u . w aaj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g u . w aaj
अगेना	अगेना	ax . g e . n aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g e . n aa
अग्नि	अग्नि	ax g . n i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . n i
अग्निपीडित	अग्निपीडित	ax g . n i . p i . dx i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . n i . p i . dd i t
अग्निवर्ण	अग्निवर्ण	ax g . n i . b ax r . n ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . n i . b ax r . nn ax
अग्निवेश	अग्निवेश	ax g . n i . b e s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . n i . b e s
अग्रगमन	अग्रगमन	ax g . g r ax . g ax . m ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax . g ax . m ax n
अग्रगामी	अग्रगामी	ax g . g r ax . g aa . m i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax . g aa . m i
अग्रज	अग्रज	ax g . g r ax dz		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax jh
अग्रता	अग्रता	ax g . g r ax . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax . t aa
अग्रभाग	अग्रभाग	ax g . g r ax . bh aa g		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax . bh aa g
अग्रवाल	अग्रवाल	ax . g r ax . w aa l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g r ax . w aa l
अग्रसरता	अग्रसरता	ax . g r ax . s ax r . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g r ax . s ax r . t aa
अग्रस्थान	अग्रस्थान	ax g . g r ax . s th aa n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r ax . s th aa n
अग्राधिकार	अग्राधिकार	ax g . g r aa . dh i . k aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r aa . dh i . k aa r
अग्रिम	अग्रिम	ax g . g r i m		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g r i m
अग्लो	अग्लो	ax g . g l o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g l o
अघाए	अघाए	ax . gh aa . e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . gh aa . e
अघि	अघि	ax . gh i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . gh i
अघिल्लो	अघिल्लो	ax . gh i l . l o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . gh i l . l o
अङडेन	अङडेन	ax ng . dx e n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . dd e n
अङ्क	अङ्क	ax ng . k ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k ax
अङ्कगणित	अङ्कगणित	ax ng . k ax . g ax . n i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k ax . g ax . nn i t
अङ्कहरू	अङ्कहरू	ax ng . k ax . h ax . r u		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k ax . h ax . r u
अङ्कित	अङ्कित	ax ng . k i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . k i t
अङ्ग	अङ्ग	ax ng . g ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g ax
अङ्गको	अङ्गको	ax ng . g ax . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g ax . k o
अङ्गभङ्ग	अङ्गभङ्ग	ax ng . g ax . bh ax ng . g ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g ax . bh ax ng . g ax
अङ्गुर	अङ्गुर	ax ng . g u r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g u r
अङ्ग्रेज	अङ्ग्रेज	ax ng . g r e dz		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g r e jh
अङ्ग्रेजी	अङ्ग्रेजी	ax ng . g r e . dz i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g r e . jh i
अङ्ग्रेजीमा	अङ्ग्रेजीमा	ax ng . g r e . dz i . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax ng . g r e . jh i . m aa
अचम्म	अचम्म	ax . ts ax m . m ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ts ax m . m ax
अचानक	अचानक	ax . ts aa . n ax k		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ts aa . n ax k
अचानो	अचानो	ax . ts aa . n o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ts aa . n o
अचार	अचार	ax . ts aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ts aa r
अचेल	अचेल	ax . ts e l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ts e l
अछाम	अछाम	ax . tsh aa m		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tsh aa m
अछुत	अछुत	ax . tsh u t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tsh u t
अजय	अजय	ax . dz ax . y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh ax . y ax
अजरबैजान	अजरबैजान	ax . dz ax r . b axj . dz aa n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh ax r . b axj . jh aa n
अजरबैजानको	अजरबैजानको	ax . dz ax r . b axj . dz aa n . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh ax r . b axj . jh aa n . k o
अजाइल	अजाइल	ax . dz aaj l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh aaj l
अजिङ्गर	अजिङ्गर	ax . dz i ng . g ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh i ng . g ax r
अजिज	अजिज	ax . dz i dz		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh i jh
अजीव	अजीव	ax . dz i b		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jh i b
अज्ञातवास	अज्ञातवास	ax . g y aan t . b aa s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g y aan t . b aa s
अज्ञान	अज्ञान	ax . g y aan n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . g y aan n
अज्ञानता	अज्ञानता	ax g . g y aa n . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax g . g y aa n . t aa
अझ	अझ	ax . dzh ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jhh ax
अझै	अझै	ax . dzh axj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . jhh axj
अञ्चल	अञ्चल	ax n . ts ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . ts ax l
अञ्चलको	अञ्चलको	ax n . ts ax l . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . ts ax l . k o
अञ्चलमा	अञ्चलमा	ax n . ts ax l . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . ts ax l . m aa
अञ्चलाधीश	अञ्चलाधीश	ax n . ts ax . l aa . dh i s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . ts ax . l aa . dh i s
अञ्जना	अञ्जना	ax n . dz ax . n aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . jh ax . n aa
अञ्जु	अञ्जु	ax n . dz u		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . jh u
अटल	अटल	ax . tx ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tt ax l
अटाए	अटाए	ax . tx aa . e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tt aa . e
अटे	अटे	ax . tx e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tt e
अटो	अटो	ax . tx o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tt o
अटोमोबाइल्स	अटोमोबाइल्स	ax . tx o . m o . b aaj l s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tt o . m o . b aaj l s
अट्चालिस	अट्चालिस	ax tx . ts aa . l i s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . ts aa . l i s
अट्टहास	अट्टहास	ax tx . tx ax . h aa s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . tt ax . h aa s
अट्ठाइस	अट्ठाइस	ax tx . txh aaj s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . tth aaj s
अट्ठाइसमा	अट्ठाइसमा	ax tx . txh aaj s . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . tth aaj s . m aa
अट्तिस	अट्तिस	ax tx . t i s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . t i s
अट्तीस	अट्तीस	ax tx . t i s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . t i s
अट्लान्टा	अट्लान्टा	ax tx . l aa n . tx aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . l aa n . tt aa
अट्सट्ठी	अट्सट्ठी	ax tx . s ax tx . txh i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . s ax tt . tth i
अट्सट्ठीमा	अट्सट्ठीमा	ax tx . s ax tx . txh i . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tt . s ax tt . tth i . m aa
अठहत्तर	अठहत्तर	ax txh . h ax t . t ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tth . h ax t . t ax r
अठहत्तरमा	अठहत्तरमा	ax . txh ax . h ax t . t ax r . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tth ax . h ax t . t ax r . m aa
अठार	अठार	ax . txh aa . r ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tth aa . r ax
अठारौँ	अठारौँ	ax . txh aa . r axwn		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tth aa . r axwn
अठासी	अठासी	ax . txh aa . s i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tth aa . s i
अठोट	अठोट	ax . txh o tx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . tth o tt
अठ्चालिस	अठ्चालिस	ax txh . ts aa . l i s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax tth . ts aa . l i s
अडान	अडान	ax . dx aa n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd aa n
अडिगल	अडिगल	ax . dx i . g ax l		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd i . g ax l
अडिट	अडिट	ax . dx i tx		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd i tt
अडियो	अडियो	ax . dx i . y o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd i . y o
अडिसन	अडिसन	ax . dx i . s ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd i . s ax n
अडे	अडे	ax . dx e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dd e
अड्के	अड्के	ax dx . k e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax dd . k e
अड्चन	अड्चन	ax dx . ts ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax dd . ts ax n
अड्डा	अड्डा	ax dx . dx aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax dd . dd aa
अढाई	अढाई	ax . dxh aaj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . ddh aaj
अण्ड	अण्ड	ax n . dx ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax nn . dd ax
अण्डकोष	अण्डकोष	ax n . dx ax . k o s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax n . dd ax . k o s
अण्डाशय	अण्डाशय	ax n . dx aa . s ax . y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax nn . dd aa . s ax . y ax
अतिक्रमण	अतिक्रमण	ax . t i . k r ax . m ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i . k r ax . m ax nn
अतिथि	अतिथि	ax . t i . th i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i . th i
अतियथार्थवादी	अतियथार्थवादी	ax . t i . y ax . th aa r . th ax . b aa . d i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i . y ax . th aa r . th ax . b aa . d i
अतिरिक्त	अतिरिक्त	ax . t i . r i k . t ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i . r i k . t ax
अतिवाद	अतिवाद	ax . t i . b aa d		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i . b aa d
अतीत	अतीत	ax . t i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . t i t
अत्तर	अत्तर	ax t . t ax r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t ax r
अत्तरिया	अत्तरिया	ax t . t ax . r i . y aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t ax . r i . y aa
अत्यधिक	अत्यधिक	ax t . t y ax . dh i k		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t y ax . dh i k
अत्यन्त	अत्यन्त	ax t . t y ax n . t ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t y ax n . t ax
अत्यन्तै	अत्यन्तै	ax t . t y ax n . t axj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t y ax n . t axj
अत्याचार	अत्याचार	ax t . t y aa . ts aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t y aa . ts aa r
अत्यास	अत्यास	ax t . t y aa s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax t . t y aa s
अथर्ववेद	अथर्ववेद	ax . th ax r . w ax . b e d		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . th ax r . w ax . b e d
अथवा	अथवा	ax . th ax . w aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . th ax . w aa
अदालत	अदालत	ax . d aa . l ax t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . d aa . l ax t
अदालतमा	अदालतमा	ax . d aa . l ax t . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . d aa . l ax t . m aa
अदुअआ	अदुअआ			spoken_nepali	google_ne_lr_2018	candidate		google_phones=
अदुवा	अदुवा	ax . d u . w aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . d u . w aa
अदैत्यवाद	अदैत्यवाद	ax . d axj t . t y ax . b aa d		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . d axj t . t y ax . b aa d
अद्वितीय	अद्वितीय	ax . d w i . t i . y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . d w i . t i . y ax
अधिक	अधिक	ax . dh i k		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i k
अधिकमास	अधिकमास	ax . dh i k . m aa s		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i k . m aa s
अधिकरण	अधिकरण	ax . dh i . k ax . r ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k ax . r ax nn
अधिकांश	अधिकांश	ax . dh i . k aa m . s ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa m . s ax
अधिकार	अधिकार	ax . dh i . k aa r		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa r
अधिकारी	अधिकारी	ax . dh i . k aa . r i		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa . r i
अधिकारीका	अधिकारीका	ax . dh i . k aa . r i . k aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa . r i . k aa
अधिकारीलाई	अधिकारीलाई	ax . dh i . k aa . r i . l aaj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa . r i . l aaj
अधिकारीले	अधिकारीले	ax . dh i . k aa . r i . l e		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k aa . r i . l e
अधिकृत	अधिकृत	ax . dh i . k r i t		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k r i t
अधिकृतमा	अधिकृतमा	ax . dh i . k r i t . m aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . k r i t . m aa
अधिग्रहण	अधिग्रहण	ax . dh i . g r ax . h ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . g r ax . h ax nn
अधिनायकत्व	अधिनायकत्व	ax . dh i . n aa . y ax . k ax t . t w ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . n aa . y ax . k ax t . t w ax
अधिनायकवाद	अधिनायकवाद	ax . dh i . n aa . y ax k . b aa d		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . n aa . y ax k . b aa d
अधिराज्य	अधिराज्य	ax . dh i . r aa dz . dz y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . r aa jh . jh y ax
अधिराज्यकै	अधिराज्यकै	ax . dh i . r aa dz . dz y ax . k axj		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . r aa jh . jh y ax . k axj
अधिराज्यसँग	अधिराज्यसँग	ax . dh i . r aa dz . dz y ax . s axn . g ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . r aa jh . jh y ax . s axn . g ax
अधिवक्ता	अधिवक्ता	ax . dh i . b ax k . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . b ax k . t aa
अधिवेशन	अधिवेशन	ax . dh i . b e . s ax n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i . b e . s ax n
अधीन	अधीन	ax . dh i n		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax . dh i n
अध्यक्ष	अध्यक्ष	ax d . dh y ax k . tsh y ax		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax d . dh y ax k . tsh y ax
अध्यक्षको	अध्यक्षको	ax d . dh y ax k . tsh y ax . k o		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax d . dh y ax k . tsh y ax . k o
अध्यक्षता	अध्यक्षता	ax dh . dh y ax k . tsh y ax . t aa		spoken_nepali	google_ne_lr_2018	candidate		google_phones=ax dh . dh y ax k . tsh y ax . t aa
